Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
Los Angeles,Los Angeles County Flood Control District,PLF Debt,"Parcel Tax: Enact a rate of $.025/sq. ft. of land impermeable to water such as buildings, driveways, and concrete until ended by voters.","Water Supply, Storage, Distribution",W,69.45,30.55,Pass,two-thirds,2018,General,11/6/2018 0:00
Multiple,State of California,General Obligation Bond,8877000000,"Water Supply, Storage, Distribution",Prop. 3,49.3,50.7,Fail,Majority,2018,General,11/6/2018 0:00
Los Angeles,Culver City,PLF Debt,"Parcel Tax: Impose a $99/single-family parcel, $69/unit on multi-family properties, and $1,096/acre of land on non-residential properties for water systems.","Water Supply, Storage, Distribution",CW,74.14,25.86,Pass,Two-thirds,2016,General,11/8/2016 0:00
Santa Cruz,Santa Cruz County CFD No 2,PLF Debt,Parcel Tax: Increase parcel tax to $517 and $1034 for single and multi-service property.,"Water Supply, Storage, Distribution",N,33.53,66.47,Fail,two-thirds,2015,Local,2/24/2015 0:00
Los Angeles,Claremont,Revenue Bond,"$135,000,000 ","Water Supply, Storage, Distribution",W,72,28,Pass,two-thirds,2014,General,11/4/2014 0:00
State of California,State of California,General Obligation Bond,"$7,545,000,000 ","Water Supply, Storage, Distribution",Prop 1,67.1,32.9,Pass,Majority,2014,General,11/4/2014 0:00
Lake,Lake County,Sales Tax Revenue Bond,Sales Tax: Impose 1/2% sales tax for 10 years.,"Water Supply, Storage, Distribution",S,63.6,36.4,Fail,two-thirds,2014,General,11/4/2014 0:00
Yolo,Davis,PLF Debt,"Water Rates: Repeal Ordinance No. 2405 adopted in March 2013 by the Davis City Council, which authorizes increases in water rates over the next 5 yrs.","Water Supply, Storage, Distribution",P,51,49,Pass,Majority,2014,Primary,6/3/2014 0:00
Lake,Lake County,Sales Tax Revenue Bond,Sales Tax: Impose a one-half of one per cent sales tax to implement a Healthy Lake Tax for a maximum period of 10 yrs.,"Water Supply, Storage, Distribution",L,65.2,34.8,Fail,two-thirds,2014,Primary,6/3/2014 0:00
Santa Clara,Santa Clara Valley Water District,PLF Debt,Parcel Tax: Renew Existing Parcel Tax for 15 Yrs: 7/1/2013 Through 6/30/2028,"Water Supply, Storage, Distribution",B,73.7,26.3,Pass,two-thirds,2012,General,11/6/2012 0:00
Colusa,Walnut Ranch,PLF Debt,"Property Tax: Levy tax of $687.57 on each parcel in the ""Walnut Ranch unincorporated area"" for two years.","Water Supply, Storage, Distribution",E,92,8,Pass,two-thirds,2011,Local,4/12/2011 0:00
Kern,California City,PLF Debt,Parcel Tax: Levy Annual Parcel Tax of $120/Parcel for 10 Yrs Beginning 7/1/2011,"Water Supply, Storage, Distribution",E,46.7,53.3,Fail,two-thirds,2010,General,11/2/2010 0:00
Kern,North Edwards Water District,PLF Debt,Parcel Tax: Levy Tax of $50/Parcel for 4 Fiscal Yrs Beginning 7/1/2012,"Water Supply, Storage, Distribution",H,42.7,57.3,Fail,two-thirds,2010,General,11/2/2010 0:00
Marin,Muir Beach Community Services District,PLF Debt,"Parcel Tax: Imposes An Annual Special Tax of $3,250 on Each Improved Commercially Zoned Parcel, $300 for Residential Parcels and $300 on All Other Parcels for 4 Yrs, Beginning Fiscal Year 2010-2011 and Ending Fiscal Year 2014- 2015","Water Supply, Storage, Distribution",E,85.4,14.6,Pass,two-thirds,2010,Primary,6/8/2010 0:00
